# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
548,MSI_EMOTION_BIGTHROB
549,MSI_EMOTION_SWEAT
550,MSI_EMOTION_AHA
551,MSI_EMOTION_FRET
552,MSI_EMOTION_ANGER
553,MSI_EMOTION_MONEY
554,MSI_EMOTION_THINK
555,MSI_EMOTION_THANKS
556,MSI_EMOTION_KEK
557,MSI_EMOTION_SORRY
558,MSI_EMOTION_SMILE
559,MSI_EMOTION_PROFUSELY_SWEAT
560,MSI_EMOTION_SCRATCH
561,MSI_EMOTION_BEST
562,MSI_EMOTION_STARE_ABOUT
563,MSI_EMOTION_HUK
564,MSI_EMOTION_O
565,MSI_EMOTION_X
566,MSI_EMOTION_HELP
567,MSI_EMOTION_GO
568,MSI_EMOTION_CRY
569,MSI_EMOTION_KIK
570,MSI_EMOTION_CHUP
571,MSI_EMOTION_CHUPCHUP
572,MSI_EMOTION_HNG
573,MSI_EMOTION_OK
574,MSI_SHORTCUT_LIST
575,MSI_BAN_PAY_SUSPEND
576,MSI_BAN_PAY_CHANGE
577,MSI_BAN_PAY_WRONGIP
578,MSI_BAN_PAY_PNGAMEROOM
579,MSI_BAN_OP_FORCE
580,MSI_USESKILL_FAIL_WEIGHTOVER
581,MSI_NAMELESS_USER
582,MSI_RANK_IN_TEN
583,MSI_RANK_OUT_TEN
584,MSI_PET_INFO
585,MSI_PET_HUNGRY
586,MSI_PET_FRIENDLY
587,MSI_CANT_OPEN_STORE_WHILE_CHAT
588,MSI_EA4
589,MSI_SLAIN
590,MSI_SLAINBY
591,MSI_NOT_EXIST_PET_FOOD
592,MSI_PET_FEEDING
593,MSI_PET_PERFORMANCE
594,MSI_PET_RETURN_EGG
595,MSI_PET_ACC_OFF
596,MSI_PET_SHOWINFO
597,MSI_PET_ACCESSARY
598,MSI_ITEM_EQUIPED
599,MSI_PET_EGG_LIST
600,MSI_ITEM_UNEQUIPED
601,MSI_SURE_TO_FEED_PET
602,MSI_CAN_INPUT_NUMBER_ONLY
603,MSI_CANT_SELL_UNIDENTIFIED_ITEM
604,MSI_YOU_HAVE_FREE_ITEM_ON_SHOP
605,MSI_NEW_EMOTION_LIST
606,MSI_BAN_JAPAN_REFUSE1
607,MSI_BAN_JAPAN_REFUSE2
608,MSI_ALREADY_SAME_AID_JOINED
609,MSI_SERVER_PROPERTY_ADULT
610,MSI_ENST_PROVOKE
611,MSI_DSST_PROVOKE
612,MSI_ENST_ENDURE
613,MSI_DSST_ENDURE
614,MSI_ENST_CONCENTRATION
615,MSI_DSST_CONCENTRATION
616,MSI_ENST_HIDING
617,MSI_DSST_HIDING
618,MSI_ENST_CLOAKING
619,MSI_DSST_CLOAKING
620,MSI_ENST_POISONREACT
621,MSI_DSST_POISONREACT
622,MSI_ENST_QUAGMIRE
623,MSI_DSST_QUAGMIRE
624,MSI_ENST_ANGELUS
625,MSI_DSST_ANGELUS
626,MSI_ENST_BLESSING
627,MSI_DSST_BLESSING
628,MSI_ENST_CRUCIS
629,MSI_DSST_CRUCIS
630,MSI_ENST_SLOWPOISON
631,MSI_DSST_SLOWPOISON
632,MSI_ENST_MAGNIFICAT
633,MSI_DSST_MAGNIFICAT
634,MSI_ENST_GLORIA
635,MSI_DSST_GLORIA
636,MSI_ENST_LEXAETERNA
637,MSI_DSST_LEXAETERNA
638,MSI_ENST_ADRENALINE
639,MSI_DSST_ADRENALINE
640,MSI_ENST_RIDING
641,MSI_DSST_RIDING
642,MSI_ENST_FALCON
643,MSI_DSST_FALCON
644,MSI_ENST_TRICKDEAD
645,MSI_DSST_TRICKDEAD
646,MSI_ENST_SHOUT
647,MSI_DSST_SHOUT
648,MSI_ENST_ENERGYCOAT
649,MSI_DSST_ENERGYCOAT
650,MSI_ENST_BROKENAMOR
651,MSI_DSST_BROKENAMOR
652,MSI_ENST_BROKENWEAPON
653,MSI_DSST_BROKENWEAPON
